r1	r2	a11	a12	a21	a22	N1	N2	Coexistence	Crossing	PGR>0
15	11	0.7	0.5000000000000001	0.7000000000000001	0.1	3.082714952589621e-05	99.99903470480834	0	0	0
15	11	0.7	0.5000000000000001	0.7000000000000001	0.30000000000000004	19.997075529989626	0.002924647522979742	0	0	0
15	11	0.7	0.5000000000000001	0.7000000000000001	0.5000000000000001	19.99661626422194	0.0033837357780597496	0	0	0
15	11	0.7	0.5000000000000001	0.7000000000000001	0.7000000000000001	19.996380326250705	0.0036194018395237387	0	0	0
15	11	0.7	0.5000000000000001	0.7000000000000001	0.9000000000000001	19.996583771766655	0.003415743853186388	0	0	0
15	11	0.7	0.5000000000000001	0.9000000000000001	0.1	19.99805904417678	0.001491610332001176	0	0	0
15	11	0.7	0.5000000000000001	0.9000000000000001	0.30000000000000004	19.998073831602415	0.0014801955293581065	0	0	0
15	11	0.7	0.5000000000000001	0.9000000000000001	0.5000000000000001	19.99810727412584	0.001454446579309545	0	0	0
15	11	0.7	0.5000000000000001	0.9000000000000001	0.7000000000000001	19.99775768392703	0.001723026263085879	0	0	0
15	11	0.7	0.5000000000000001	0.9000000000000001	0.9000000000000001	19.998308418836228	0.0012997987778922385	0	0	0
15	11	0.7	0.7000000000000001	0.1	0.1	0.00015935180849909172	99.99879724243577	0	0	0
15	11	0.7	0.7000000000000001	0.1	0.30000000000000004	0.001635541678763586	33.332390186591326	0	0	0
15	11	0.7	0.7000000000000001	0.1	0.5000000000000001	0.26777577887207915	19.945848797901323	1	0	0
15	11	0.7	0.7000000000000001	0.1	0.7000000000000001	6.670434779390931	13.332572170568183	1	0	1
15	11	0.7	0.7000000000000001	0.1	0.9000000000000001	10.00209041734352	9.999574325656798	1	0	1
15	11	0.7	0.7000000000000001	0.30000000000000004	0.1	2.7059113607592744e-05	99.99938764785827	0	0	0
15	11	0.7	0.7000000000000001	0.30000000000000004	0.30000000000000004	0.0015056491531699838	33.33072878349189	0	0	0
15	11	0.7	0.7000000000000001	0.30000000000000004	0.5000000000000001	0.5475913233089202	19.66770677647587	1	0	0
15	11	0.7	0.7000000000000001	0.30000000000000004	0.7000000000000001	10.00485597029563	9.997066516893492	1	0	1
15	11	0.7	0.7000000000000001	0.30000000000000004	0.9000000000000001	13.329762435920815	6.66882928893875	1	1	1
15	11	0.7	0.7000000000000001	0.5000000000000001	0.1	7.160665683278019e-06	99.99972981614678	0	0	0
15	11	0.7	0.7000000000000001	0.5000000000000001	0.30000000000000004	0.0006328673252719213	33.33150876754255	0	0	0
15	11	0.7	0.7000000000000001	0.5000000000000001	0.5000000000000001	10.122254089849202	9.876980939349302	1	1	0
15	11	0.7	0.7000000000000001	0.5000000000000001	0.7000000000000001	19.419306649892384	0.5741882343886578	1	1	0
15	11	0.7	0.7000000000000001	0.5000000000000001	0.9000000000000001	19.712422334373084	0.2843877133735589	1	1	0
15	11	0.7	0.7000000000000001	0.7000000000000001	0.1	6.692461964987027e-06	99.99964653787862	0	0	0
