r1,r2,a11,a12,a21,a22,N1,N2,FE1,S1,FE2,S2,Rank,Coexist,Asy,cor_sos,Rare,PGR1,PGR2,A1,A2,B,C
20.0,16.0,0.1,1.0,0.9,0.9,0.0,16.666666666666668,1.25,0.9056603773584904,0.8,0.1162790697674418,2.0,0.0,0.7893813075910486,-6.578177563258739,0.0,,0.0,True,False,False,False
19.0,17.0,0.1,1.0,0.9,0.9,0.0,17.77777777777778,1.1176470588235294,0.9053254437869822,0.8947368421052632,0.1165644171779141,2.0,0.0,0.7887610266090681,-7.011209125413939,0.0,,0.0,True,False,False,False
20.0,17.0,0.1,1.0,0.9,0.9,0.0,17.77777777777778,1.1764705882352942,0.9053254437869822,0.85,0.1162790697674418,2.0,0.0,0.7890463740195404,-7.013745546840359,0.0,,0.0,True,False,False,False
20.0,18.0,0.1,1.0,0.9,0.9,0.0,18.88888888888889,1.1111111111111112,0.9050279329608938,0.9,0.1162790697674418,2.0,0.0,0.7887488631934519,-7.449294819049268,0.0,,0.0,True,False,False,False
17.0,15.0,0.3,1.0,0.9,0.9,0.0,15.555555555555555,1.1333333333333333,0.9060402684563758,0.8823529411764706,0.3469387755102041,2.0,0.0,0.5591014929461717,-4.348567167359113,0.0,,0.0,True,False,False,False
18.0,15.0,0.3,1.0,0.9,0.9,0.0,15.555555555555555,1.2,0.9060402684563758,0.8333333333333334,0.3461538461538461,2.0,0.0,0.5598864223025296,-4.354672173464119,0.0,,0.0,True,False,False,False
19.0,15.0,0.3,1.0,0.9,0.9,0.0,15.555555555555555,1.2666666666666666,0.9060402684563758,0.7894736842105263,0.3454545454545454,2.0,0.0,0.5605857230018303,-4.360111178903124,0.0,,0.0,True,False,False,False
20.0,15.0,0.3,1.0,0.9,0.9,0.0,15.555555555555555,1.3333333333333333,0.9060402684563758,0.75,0.3448275862068966,2.0,0.0,0.5612126822494792,-4.3649875286070605,0.0,,0.0,True,False,False,False
18.0,16.0,0.3,1.0,0.9,0.9,0.0,16.666666666666668,1.125,0.9056603773584904,0.8888888888888888,0.3461538461538461,2.0,0.0,0.5595065312046443,-4.66255442670537,0.0,,0.0,True,False,False,False
19.0,16.0,0.3,1.0,0.9,0.9,0.0,16.666666666666668,1.1875,0.9056603773584904,0.8421052631578947,0.3454545454545454,2.0,0.0,0.560205831903945,-4.668381932532875,0.0,,0.0,True,False,False,False
20.0,16.0,0.3,1.0,0.9,0.9,0.0,16.666666666666668,1.25,0.9056603773584904,0.8,0.3448275862068966,2.0,0.0,0.5608327911515939,-4.673606592929949,0.0,,0.0,True,False,False,False
19.0,17.0,0.3,1.0,0.9,0.9,0.0,17.77777777777778,1.1176470588235294,0.9053254437869822,0.8947368421052632,0.3454545454545454,2.0,0.0,0.5598708983324368,-4.976630207399438,0.0,,0.0,True,False,False,False
20.0,17.0,0.3,1.0,0.9,0.9,0.0,17.77777777777778,1.1764705882352942,0.9053254437869822,0.85,0.3448275862068966,2.0,0.0,0.5604978575800856,-4.98220317848965,0.0,,0.0,True,False,False,False
20.0,18.0,0.3,1.0,0.9,0.9,0.0,18.88888888888889,1.1111111111111112,0.9050279329608938,0.9,0.3448275862068966,2.0,0.0,0.5602003467539972,-5.290781052676641,0.0,,0.0,True,False,False,False
17.0,15.0,0.5,1.0,0.9,0.9,0.0,15.555555555555555,1.1333333333333333,0.9060402684563758,0.8823529411764706,0.5704697986577181,2.0,0.0,0.3355704697986577,-2.6099925428784485,0.0,,0.0,True,False,False,False
18.0,15.0,0.5,1.0,0.9,0.9,0.0,15.555555555555555,1.2,0.9060402684563758,0.8333333333333334,0.5696202531645569,2.0,0.0,0.3364200152918188,-2.616600118936369,0.0,,0.0,True,False,False,False
19.0,15.0,0.5,1.0,0.9,0.9,0.0,15.555555555555555,1.2666666666666666,0.9060402684563758,0.7894736842105263,0.5688622754491018,2.0,0.0,0.3371779930072739,-2.622495501167686,0.0,,0.0,True,False,False,False
20.0,15.0,0.5,1.0,0.9,0.9,0.0,15.555555555555555,1.3333333333333333,0.9060402684563758,0.75,0.5681818181818181,2.0,0.0,0.3378584502745576,-2.627787946579893,0.0,,0.0,True,False,False,False
18.0,16.0,0.5,1.0,0.9,0.9,0.0,16.666666666666668,1.125,0.9056603773584904,0.8888888888888888,0.5696202531645569,2.0,0.0,0.3360401241939336,-2.80033436828278,0.0,,0.0,True,False,False,False
19.0,16.0,0.5,1.0,0.9,0.9,0.0,16.666666666666668,1.1875,0.9056603773584904,0.8421052631578947,0.5688622754491018,2.0,0.0,0.3367981019093886,-2.8066508492449054,0.0,,0.0,True,False,False,False
20.0,16.0,0.5,1.0,0.9,0.9,0.0,16.666666666666668,1.25,0.9056603773584904,0.8,0.5681818181818181,2.0,0.0,0.3374785591766723,-2.81232132647227,0.0,,0.0,True,False,False,False
19.0,17.0,0.5,1.0,0.9,0.9,0.0,17.77777777777778,1.1176470588235294,0.9053254437869822,0.8947368421052632,0.5688622754491018,2.0,0.0,0.3364631683378803,-2.9907837185589368,0.0,,0.0,True,False,False,False
20.0,17.0,0.5,1.0,0.9,0.9,0.0,17.77777777777778,1.1764705882352942,0.9053254437869822,0.85,0.5681818181818181,2.0,0.0,0.3371436256051641,-2.9968322276014585,0.0,,0.0,True,False,False,False
20.0,18.0,0.5,1.0,0.9,0.9,0.0,18.88888888888889,1.1111111111111112,0.9050279329608938,0.9,0.5681818181818181,2.0,0.0,0.3368461147790756,-3.181324417357937,0.0,,0.0,True,False,False,False
17.0,15.0,0.7,1.0,0.9,0.9,0.0,15.555555555555555,1.1333333333333333,0.9060402684563758,0.8823529411764706,0.7880794701986754,2.0,0.0,0.1179607982577003,-0.9174728753376692,0.0,,0.0,True,False,False,False
18.0,15.0,0.7,1.0,0.9,0.9,0.0,15.555555555555555,1.2,0.9060402684563758,0.8333333333333334,0.7875,2.0,0.0,0.1185402684563757,-0.9219798657718116,0.0,,0.0,True,False,False,False
19.0,15.0,0.7,1.0,0.9,0.9,0.0,15.555555555555555,1.2666666666666666,0.9060402684563758,0.7894736842105263,0.78698224852071,2.0,0.0,0.1190580199356657,-0.9260068217218448,0.0,,0.0,True,False,False,False
20.0,15.0,0.7,1.0,0.9,0.9,0.0,15.555555555555555,1.3333333333333333,0.9060402684563758,0.75,0.7865168539325842,2.0,0.0,0.1195234145237915,-0.9296265574072676,0.0,,0.0,True,False,False,False
18.0,16.0,0.7,1.0,0.9,0.9,0.0,16.666666666666668,1.125,0.9056603773584904,0.8888888888888888,0.7875,2.0,0.0,0.1181603773584905,-0.9846698113207544,0.0,,0.0,True,False,False,False
19.0,16.0,0.7,1.0,0.9,0.9,0.0,16.666666666666668,1.1875,0.9056603773584904,0.8421052631578947,0.78698224852071,2.0,0.0,0.1186781288377805,-0.9889844069815042,0.0,,0.0,True,False,False,False
20.0,16.0,0.7,1.0,0.9,0.9,0.0,16.666666666666668,1.25,0.9056603773584904,0.8,0.7865168539325842,2.0,0.0,0.1191435234259062,-0.9928626952158858,0.0,,0.0,True,False,False,False
19.0,17.0,0.7,1.0,0.9,0.9,0.0,17.77777777777778,1.1176470588235294,0.9053254437869822,0.8947368421052632,0.78698224852071,2.0,0.0,0.1183431952662722,-1.0519395134779754,0.0,,0.0,True,False,False,False
20.0,17.0,0.7,1.0,0.9,0.9,0.0,17.77777777777778,1.1764705882352942,0.9053254437869822,0.85,0.7865168539325842,2.0,0.0,0.118808589854398,-1.056076354261316,0.0,,0.0,True,False,False,False
